lon,lat,track_seg_point_id,ele,time
76.41568767,9.860749333,414,44.6,2024/04/26 10:59:50+00
76.4155105,9.8608425,415,44,2024/04/26 10:59:51+00
76.415339,9.860937833,416,44,2024/04/26 10:59:52+00
76.41515733,9.861019667,417,43.6,2024/04/26 10:59:53+00
76.414973,9.861094333,418,43.1,2024/04/26 10:59:54+00
76.41478933,9.861162333,419,42.5,2024/04/26 10:59:55+00
76.4146075,9.861225167,420,42.2,2024/04/26 10:59:56+00
76.41441983,9.861283667,421,41.7,2024/04/26 10:59:57+00
76.41423167,9.861339333,422,41.3,2024/04/26 10:59:58+00
76.4140455,9.861391,423,41,2024/04/26 10:59:59+00
76.41385917,9.8614425,424,40.8,2024/04/26 11:00:00+00
76.41367067,9.8614915,425,40.4,2024/04/26 11:00:01+00
